"asi","county","state","X","Y","year","index"
28.4375,"White Pine","Nevada",-114.921,38.732,1989,560
22.75,"White Pine","Nevada",-114.164,38.764,1989,561
27.875,"White Pine","Nevada",-115.817,40.026,1989,562
20.3125,"White Pine","Nevada",-115.174,38.885,1989,563
15.1875,"White Pine","Nevada",-114.753,39.014,1989,565
10.875,"White Pine","Nevada",-114.738,39.979,1989,566
20,"White Pine","Nevada",-115.356,39.523,1989,567
17.875,"White Pine","Nevada",-115.388,39.618,1989,568
22.75,"White Pine","Nevada",-114.831,38.982,1989,569
36,"White Pine","Nevada",-114.668,38.865,1989,570
20.625,"White Pine","Nevada",-115.52,39.205,1989,571
22.1875,"White Pine","Nevada",-114.217,38.717,1989,572
15.0625,"White Pine","Nevada",-115.046,38.703,1989,574
14.9375,"White Pine","Nevada",-114.929,39.672,1989,575
20.625,"White Pine","Nevada",-115.125,38.802,1989,576
16.3125,"White Pine","Nevada",-114.499,39.238,1989,577
25.125,"White Pine","Nevada",-114.788,39.017,1989,578
10.375,"White Pine","Nevada",-115.871,39.458,1989,581
13.8125,"White Pine","Nevada",-114.753,39.917,1989,583
17.3125,"White Pine","Nevada",-114.061,39.882,1989,584
16.0625,"White Pine","Nevada",-115.156,39.722,1989,585
20.4375,"White Pine","Nevada",-114.742,39.503,1989,587
21.0625,"White Pine","Nevada",-114.632,39.154,1989,588
19.9375,"White Pine","Nevada",-115.118,39.061,1989,589
11.625,"White Pine","Nevada",-115.584,39.098,1989,590
24.1875,"White Pine","Nevada",-115.674,39.195,1989,592
11.3125,"White Pine","Nevada",-114.057,39.277,1989,593
10.5,"White Pine","Nevada",-115.699,39.305,1989,595
7.3125,"White Pine","Nevada",-114.28,39.141,1989,596
22.875,"White Pine","Nevada",-115.197,39.6,1989,597
19.3125,"White Pine","Nevada",-114.519,39.222,1989,598
